;figi;ticker;share_name;datetime;last_price;sell_flag;buy_flag;strategy_id;profit;currency
3530;BBG000G8N9C6;JWN;Nordstrom;2017-09-20;49.18;0;1;sma;0;usd
3531;BBG000JK9DK4;PLCE;Children's Place Inc The;2017-09-20;141.634;0;1;sma;0;usd
3532;BBG0065B7K59;MEDP;Medpace Holdings Inc;2017-09-21;35.2;0;1;sma;0;usd
3533;BBG004S684M6;SIBN;Газпром нефть;2017-09-22;283.05;0;1;sma;0;rub
3534;BBG000BQC9V2;NWL;Newell Brands;2017-09-22;26.1;1;0;sma;0;usd
3535;BBG000CF5097;GBX;Greenbrier Cos Inc;2017-09-25;46.1728;0;1;sma;0;usd
3536;BBG0078W3NQ3;HPE;Hewlett Packard Enterprise;2017-09-25;15.73;0;1;sma;0;usd
3537;BBG000BSC0K9;DLTR;Dollar Tree;2017-09-25;106.62;0;1;sma;0;usd
3538;BBG000K4ND22;CVX;Chevron;2017-09-26;115.29;0;1;sma;0;usd
3539;BBG000J0D904;BIG;Big Lots Inc;2017-09-26;55.7044;0;1;sma;0;usd
3540;BBG000BCZBF1;SAM;Boston Beer Co Inc The;2017-09-27;188.5;0;1;sma;0;usd
3541;BBG000BCWG90;KEP;Korea Electric Power;2017-09-27;15.7;1;0;sma;0;usd
3542;BBG000BQSBB2;PATK;Patrick Industries Inc;2017-09-27;59.65;0;1;sma;0;usd
3543;BBG000BHPL78;EFX;Equifax;2017-09-27;114.55;1;0;sma;0;usd
3544;BBG00BGKYH17;NKHP;НКХП;2017-09-28;235.0;0;1;sma;0;rub
3545;BBG004S681W1;MTSS;МТС;2017-09-29;307.4;0;1;sma;0;rub
3546;BBG000BNMMJ3;HSIC;Henry Schein;2017-09-29;68.68;1;0;sma;0;usd
3547;BBG000BGRY34;CVS;CVS Health Corporation;2017-09-29;81.61;0;1;sma;0;usd
3548;BBG000C0G1D1;INTC;Intel Corporation;2017-09-29;44.48;0;1;sma;0;usd
3549;BBG000FFDM15;USB;US Bancorp;2017-09-29;53.97;0;1;sma;0;usd
3550;BBG000BNPSQ9;INCY;Incyte;2017-09-29;88.03;1;0;sma;0;usd
3551;BBG000BZX1N5;AIZ;Assurant;2017-10-02;89.64;1;0;sma;0;usd
3552;BBG000BKVJK4;HAS;Hasbro;2017-10-02;96.71;1;0;sma;0;usd
3553;BBG005D1WCQ1;QIWI;QIWI;2017-10-02;948.0;1;0;sma;0;rub
3554;BBG000R607Y3;PLZL;Полюс Золото;2017-10-03;4520.0;0;1;sma;0;rub
3555;BBG000C3W281;MASI;Masimo Corporation;2017-10-03;85.94;1;0;sma;0;usd
3556;BBG000HS77T5;VZ;Verizon Communications;2017-10-03;49.74;0;1;sma;0;usd
3557;BBG000BCT197;AMN;AMN Healthcare Services Inc;2017-10-03;54.15;0;1;sma;0;usd
3558;BBG017BXPZ85;CR;Crane Holdings;2017-10-04;88.8363;0;1;sma;0;usd
3559;BBG009Q036D0;GMS;GMS Inc;2017-10-04;32.27;0;1;sma;0;usd
3560;BBG000BFQYY3;CL;Colgate-Palmolive;2017-10-04;71.22;1;0;sma;0;usd
3561;BBG000BW3299;UNP;Union Pacific Corporation;2017-10-05;134.27;0;1;sma;0;usd
3562;BBG000MZL0Y6;PMSB;Пермэнергосбыт;2017-10-06;81.6;0;1;sma;0;rub
3563;BBG000BQ74K1;NTRS;Northern Trust;2017-10-06;104.72;0;1;sma;0;usd
3564;BBG000H6HNW3;TWTR;Twitter;2017-10-09;24.17;0;1;sma;0;usd
3565;BBG000CSZKR2;MBT;АДР МТС;2017-10-09;9.93;0;1;sma;0;usd
3566;BBG000BLPBL5;AVB;AvalonBay Communities REIT;2017-10-09;156.02;1;0;sma;0;usd
3567;BBG000BFJT36;CHD;Church & Dwight;2017-10-09;48.38;1;0;sma;0;usd
3568;BBG000BH3JF8;DHR;Danaher;2017-10-09;96.85;0;1;sma;0;usd
3569;BBG000CRN8N8;ASGN;ASGN Inc;2017-10-09;77.19;0;1;sma;0;usd
3570;BBG000BJW241;EXP;Eagle Materials Inc;2017-10-10;102.6874;0;1;sma;0;usd
