;amount_of_sma_rows
BBG003H0XV18;2202
BBG000N2HDY5;1817
BBG000G9W6L0;2431
BBG000C43RR5;2433
BBG000HGYNZ9;2432
BBG004730N88;2486
BBG000BHKYH4;2428
BBG001C7PMJ2;462
BBG000C13CD9;2433
BBG000C8L273;184
BBG000BCLYL9;2432
BBG000MQ1SN9;2432
BBG000BQVTF5;2432
BBG000BR85F1;2432
BBG000BGYWY6;2432
BBG00Y7BP8Y1;0
BBG000BGX2S0;326
BBG000BJD7C2;2432
BBG000MBHNC8;276
BBG000BLR3Y7;276
BBG000BS0ZF1;2432
BBG001J4BCN4;1234
BBG000NVSBL7;0
BBG000F8RCH1;275
BBG00DW0PN34;59
BBG000BJ2D31;2432
BBG001KFKQM7;2035
BBG000DHPN63;2432
BBG001M6CZY1;0
BBG000BB4HM6;2432
BBG000CVRFS4;2432
BBG00Y6G6X31;3
BBG000B9ZLB0;186
BBG003MSMCS6;186
BBG00LPWLFD4;0
BBG000FW5ZL6;524
BBG000BVPV84;2447
BBG004S689R0;2486
BBG000D5S4M0;2431
BBG0056JW5G6;237
BBG003BNWBP3;1665
BBG004S68JR8;2416
BBG0035WV4N9;524
BBG00M9BHPZ5;52
BBG00Y4RQNH4;197
BBG000Q4NZ54;2432
BBG00F0SW7N8;185
BBG00NPL9WH7;276
BBG0018SLDN0;524
BBG0079T1PZ6;276
BBG000Q7ZZY2;2319
BBG000NL6ZD9;2356
BBG000CKGDS5;0
BBG000BBD5N1;2272
BBG005DLMMZ6;462
BBG000PMSK08;186
BBG000CR20B1;326
BBG000JH6683;2430
BBG000BCG930;2408
BBG00YDGX945;18
BBG000BC4185;2432
BBG000KK3464;462
BBG000F3CWW7;0
BBG00XP8NQN4;0
BBG000R5XCX9;0
BBG000BXPZB7;2432
BBG00CBYY6M1;1186
BBG000BVWZF9;2432
BBG00G2HHYD7;186
BBG000BCTQ65;2432
BBG000N7MXL8;1607
BBG000C1HQ43;3
BBG00FN64XT9;1124
BBG000BN53G7;2432
BBG00NK8H8T2;276
BBG000BCRJM5;0
BBG00HY28K89;725
BBG000BGRB25;0
BBG00KY6K4L0;59
BBG000BPRN29;460
BBG000BQV1S2;462
BBG000BCQ6J8;186
BBG0039320N9;2162
BBG00K7ZQ662;186
BBG000BM6N47;2431
BBG000BPDDB6;186
BBG000BJCDS3;276
BBG000BH92D1;462
BBG000BTKR92;276
BBG000B9YJ35;2423
BBG000DMBXR2;2435
BBG000BQTMJ9;2432
BBG000BMNBY1;2432
BBG000HS74G6;13
BBG001C7PM75;2414
