;figi;ticker;share_name;datetime;last_price;rsi_float;sell_flag;buy_flag;strategy_id;profit;currency
52;BBG000BLR3Y7;IDA;IDACORP, Inc.;2022-06-22 13:59:25.500243;98.27;29.4669;0;1;rsi;0;usd
53;BBG00DW0PN34;1COV@DE;Covestro AG;2022-06-22 13:59:25.536242;44.7;28.3271;0;1;rsi;0;eur
54;BBG000BVPV84;AMZN;Amazon.com;2022-06-22 13:59:25.599242;108.38;15.5564;0;1;rsi;0;usd
55;BBG000Q4NZ54;ENV;Envestnet Inc;2022-06-22 13:59:25.649240;52.55;23.1392;0;1;rsi;0;usd
56;BBG00NPL9WH7;TPTX;Turning Point Therapeutics Inc;2022-06-22 13:59:25.671242;74.58;80.7568;1;0;rsi;0;usd
57;BBG000CKGDS5;FR;First Industrial REIT;2022-06-22 13:59:25.705240;46.44;28.6181;0;1;rsi;0;usd
58;BBG00CBYY6M1;HGV;Hilton Grand Vacations Inc;2022-06-22 13:59:25.779243;36.58;29.2404;0;1;rsi;0;usd
59;BBG000BCTQ65;XEL;Xcel Energy;2022-06-22 13:59:25.806244;64.76;27.0272;0;1;rsi;0;usd
60;BBG000BGRB25;MPW;Medical Properties REIT;2022-06-22 13:59:25.857244;14.75;27.8311;0;1;rsi;0;usd
61;BBG000BP6LJ8;MO;Altria Group;2022-06-22 13:59:26.030242;45.71;26.3383;0;1;rsi;0;usd
62;BBG000B9X8C0;AEE;Ameren;2022-06-22 13:59:26.177249;81.98;22.1794;0;1;rsi;0;usd
63;BBG000BK6MB5;GE;General Electric Company;2022-06-22 13:59:26.249239;66.2;27.9584;0;1;rsi;0;usd
64;BBG000QCQ764;NP;Neenah;2022-06-22 13:59:26.272240;32.77;28.1281;0;1;rsi;0;usd
65;BBG000D54HT0;DB1@DE;Deutsche Boerse AG;2022-06-22 13:59:26.322242;142.74;26.7898;0;1;rsi;0;eur
66;BBG000BVWLJ6;JCI;Johnson Controls;2022-06-22 13:59:26.365241;47.37;28.9218;0;1;rsi;0;usd
67;BBG00CWTTQ41;ASIX;AdvanSix Inc;2022-06-22 13:59:26.439240;34.16;24.1676;0;1;rsi;0;usd
68;BBG000M44VW8;OC;Owens Corning;2022-06-22 13:59:26.566237;75.61;27.2964;0;1;rsi;0;usd
69;BBG000DSMS70;ILMN;Illumina;2022-06-22 13:59:26.662238;183.62;28.1765;0;1;rsi;0;usd
70;BBG000BVP5P2;SLG;SL Green REIT;2022-06-22 13:59:26.697240;48.37;25.9835;0;1;rsi;0;usd
71;BBG00XV2T033;KSPI@GS;ГДР Kaspi.kz JSC;2022-06-22 13:59:26.734253;59.0;27.1695;0;1;rsi;0;usd
72;BBG000DN7P92;SYK;Stryker;2022-06-22 13:59:26.778238;195.69;24.0807;0;1;rsi;0;usd
73;BBG000BLW530;EMN;Eastman Chemical Company;2022-06-22 13:59:26.800239;90.22;29.6956;0;1;rsi;0;usd
74;BBG000LYF3S8;NVS;Novartis AG;2022-06-22 13:59:26.825239;80.49;27.0233;0;1;rsi;0;usd
75;BBG0122M8031;SLVM;Sylvamo Corp.;2022-06-22 13:59:26.886240;37.0;28.6132;0;1;rsi;0;usd
76;BBG000CB8Q50;UHS;Universal Health Services;2022-06-22 13:59:26.909238;102.21;25.9068;0;1;rsi;0;usd
77;BBG0077VS2C0;BLD;TopBuild Corp;2022-06-22 13:59:26.953236;157.12;29.8801;0;1;rsi;0;usd
78;BBG000BS3CD1;FRE@DE;Fresenius SE;2022-06-22 13:59:27.029235;29.5;20.3209;0;1;rsi;0;eur
79;BBG000MJRJJ2;HHC;Howard Hughes Corp;2022-06-22 13:59:27.086236;61.29;28.5348;0;1;rsi;0;usd
80;BBG000PLF6N0;FOLD;Amicus Therapeutics;2022-06-22 13:59:27.104236;10.5;71.2809;1;0;rsi;0;usd
81;BBG000BVDBY2;DRQ;Dril-Quip Inc;2022-06-22 13:59:27.122236;24.65;29.2965;0;1;rsi;0;usd
82;BBG000BMFNP4;IOSP;Innospec;2022-06-22 13:59:27.299235;88.85;29.4253;0;1;rsi;0;usd
83;BBG00172J7S9;OKEY;O'Key Group SA;2022-06-22 13:59:27.343235;17.39;25.2216;0;1;rsi;0;rub
84;BBG000QW7VC1;HCA;HCA Healthcare;2022-06-22 13:59:27.403237;173.65;29.1263;0;1;rsi;0;usd
85;BBG000QY6FL3;NVTK@GS;Novatek PJSC;2022-06-22 13:59:27.458236;124.7;26.714;0;1;rsi;0;usd
86;BBG00L9HLWV8;MSGE;Madison Square Garden Entertainment;2022-06-22 13:59:27.564235;55.36;29.2873;0;1;rsi;0;usd
87;BBG000BQGLS5;OGE;OGE Energy Corp.;2022-06-22 13:59:27.648235;35.28;22.8643;0;1;rsi;0;usd
