figi;ticker;class_code;isin;lot;currency;klong;kshort;dlong;dshort;dlong_min;dshort_min;short_enabled_flag;name;exchange;ipo_date;issue_size;country_of_risk;country_of_risk_name;sector;issue_size_plan;nominal;trading_status;otc_flag;buy_available_flag;sell_available_flag;div_yield_flag;share_type;min_price_increment;api_trade_available_flag;uid;real_exchange
BBG000VJMH65;MRKS;TQBR;RU000A0JPPF0;10000;rub;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;МРСК Сибири;MOEX;2005-08-22 00:00:00+00:00;94815163249;RU;Российская Федерация;utilities;100000000;{'currency': 'rub', 'units': 0, 'nano': 100000000};5;False;True;True;True;1;{'units': 0, 'nano': 500000};True;b135075c-3a05-42cf-8f55-86674d63a49d;1
BBG000BS2ZD1;SLP;SPBXM;US8292141053;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Simulations Plus Inc.;SPB;1970-01-01 00:00:00+00:00;17809017;US;Соединенные Штаты Америки;it;50000000;{'currency': 'usd', 'units': 0, 'nano': 1000000};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;865e162c-19aa-4340-862f-829aae970692;2
BBG00LSD4456;FTCH;SPBXM;KY30744W1070;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 559100000};{'units': 0, 'nano': 898900000};{'units': 0, 'nano': 336000000};{'units': 0, 'nano': 378000000};False;Farfetch Ltd;SPB;1970-01-01 00:00:00+00:00;250001015;GB;Соединенное Королевство Великобритании и Северной Ирландии;consumer;500000000;{'currency': 'usd', 'units': 0, 'nano': 40000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;179822a5-5821-4fc6-9459-5b2e4776a6db;2
BBG000BM6788;TT;SPBXM;IE00BK9ZQ967;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 1, 'nano': 0};{'units': 1, 'nano': 0};{'units': 1, 'nano': 0};{'units': 1, 'nano': 0};False;Trane Technologies;SPB;1970-01-01 00:00:00+00:00;239147137;US;Соединенные Штаты Америки;industrials;0;{'currency': 'usd', 'units': 1, 'nano': 0};5;False;True;True;True;1;{'units': 0, 'nano': 10000000};True;45269986-9152-4dc7-8c08-71f67c9405fe;2
BBG00Q741Z16;CHPT;SPBXM;US15961R1059;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;ChargePoint Holdings;SPB;1970-01-01 00:00:00+00:00;7852941;US;Соединенные Штаты Америки;electrocars;200000000;{'currency': 'usd', 'units': 0, 'nano': 100000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;2ef8e5d5-e10c-456c-a3d6-5f6e871face9;2
BBG000BBK4B9;LFC;SPBXM;US16939P1066;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};True;China Life Insurance;SPB;1970-01-01 00:00:00+00:00;1488235000;CN;Китайская Народная Республика;financial;0;{'currency': 'usd', 'units': 5, 'nano': 0};5;False;True;True;True;3;{'units': 0, 'nano': 10000000};True;50f0f096-10da-45cd-b5a9-cc2b96a2fee2;2
BBG00GVP5JL4;SMPL;SPBXM;US82900L1026;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;Simply Good Foods Co;SPB;2013-10-01 00:00:00+00:00;81915423;US;Соединенные Штаты Америки;consumer;600000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;c6464c0c-e2a5-42b0-8a3d-f57d343576f4;2
BBG000KCZPC3;IRM;SPBXM;US46284V1017;1;usd;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 500000000};{'units': 0, 'nano': 292900000};{'units': 0, 'nano': 224700000};True;Iron Mountain REIT;SPB;1996-01-31 00:00:00+00:00;263447840;US;Соединенные Штаты Америки;real_estate;400000000;{'currency': 'usd', 'units': 0, 'nano': 10000000};5;False;True;True;True;8;{'units': 0, 'nano': 10000000};True;7ed63b51-c9d2-49c1-a21c-54397f1f0fb5;2
BBG010JBYV98;ZIP;SPBXM;US98980B1035;1;usd;{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};{'units': 0, 'nano': 0};False;ZipRecruiter Inc;SPB;1970-01-01 00:00:00+00:00;83071919;US;Соединенные Штаты Америки;consumer;700000000;{'currency': 'usd', 'units': 0, 'nano': 10000};5;False;True;True;False;1;{'units': 0, 'nano': 10000000};True;8b35b8a8-38c3-404a-a4ae-8831c2e3cd7d;2
BBG001BBGNS2;ORUP;TQPI;RU000A0JXKG3;10;rub;{'units': 2, 'nano': 0};{'units': 2, 'nano': 0};{'units': 0, 'nano': 696200000};{'units': 1, 'nano': 247300000};{'units': 0, 'nano': 448800000};{'units': 0, 'nano': 499100000};False;Обувь России;MOEX;2013-09-26 00:00:00+00:00;113056000;RU;Российская Федерация;consumer;70660000;{'currency': 'rub', 'units': 100, 'nano': 0};5;False;True;True;True;1;{'units': 0, 'nano': 20000000};True;8baef29f-245d-437e-94de-9f44bf584f8d;1
